mapping,ontology,template
http://mappings.dbpedia.org/server/mappings/en/Anglican-bishop-stub,http://dbpedia.org/ontology/ChristianBishop,anglican bishop stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_Mayor,http://dbpedia.org/ontology/Mayor,infobox mayor
http://mappings.dbpedia.org/server/mappings/en/Comic-strip-stub,http://dbpedia.org/ontology/ComicStrip,comic strip stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_Russian_inhabited_locality,http://dbpedia.org/ontology/Settlement,infobox russian inhabited locality
http://mappings.dbpedia.org/server/mappings/en/France-writer-stub,http://dbpedia.org/ontology/Writer,france writer stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_squash_player,http://dbpedia.org/ontology/SquashPlayer,infobox squash player
http://mappings.dbpedia.org/server/mappings/en/Infobox_hospital,http://dbpedia.org/ontology/Hospital,infobox hospital
http://mappings.dbpedia.org/server/mappings/en/Infobox_motorcycle,http://dbpedia.org/ontology/Motorcycle,infobox motorcycle
http://mappings.dbpedia.org/server/mappings/en/Infobox_historic_site,http://dbpedia.org/ontology/HistoricPlace,infobox historic site
http://mappings.dbpedia.org/server/mappings/en/Infobox_model,http://dbpedia.org/ontology/Model,infobox model
http://mappings.dbpedia.org/server/mappings/en/Infobox_journalist,http://dbpedia.org/ontology/Journalist,infobox journalist
http://mappings.dbpedia.org/server/mappings/en/California-school-stub,http://dbpedia.org/ontology/EducationalInstitution,california school stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_video_game,http://dbpedia.org/ontology/VideoGame,infobox video game
http://mappings.dbpedia.org/server/mappings/en/Infobox_glacier,http://dbpedia.org/ontology/Glacier,infobox glacier
http://mappings.dbpedia.org/server/mappings/en/Infobox_space_shuttle,http://dbpedia.org/ontology/SpaceShuttle,infobox space shuttle
http://mappings.dbpedia.org/server/mappings/en/US-nonfiction-writer-stub,http://dbpedia.org/ontology/Writer,us nonfiction writer stub
http://mappings.dbpedia.org/server/mappings/en/Solar-eclipse-stub,http://dbpedia.org/ontology/SolarEclipse,solar eclipse stub
http://mappings.dbpedia.org/server/mappings/en/Ireland-politician-stub,http://dbpedia.org/ontology/Politician,ireland politician stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_public_transit,http://dbpedia.org/ontology/PublicTransitSystem,infobox public transit
http://mappings.dbpedia.org/server/mappings/en/Chembox,http://dbpedia.org/ontology/ChemicalCompound,chembox
http://mappings.dbpedia.org/server/mappings/en/England-cricket-bio-stub,http://dbpedia.org/ontology/Cricketer,england cricket bio stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_basketball_biography,http://dbpedia.org/ontology/BasketballPlayer,infobox basketball biography
http://mappings.dbpedia.org/server/mappings/en/Infobox_CFL_team,http://dbpedia.org/ontology/CanadianFootballTeam,infobox cfl team
http://mappings.dbpedia.org/server/mappings/en/Infobox_building,http://dbpedia.org/ontology/Building,infobox building
http://mappings.dbpedia.org/server/mappings/en/Distinguish,http://www.w3.org/2002/07/owl#Thing,distinguish
http://mappings.dbpedia.org/server/mappings/en/Infobox_legislature,http://dbpedia.org/ontology/Legislature,infobox legislature
http://mappings.dbpedia.org/server/mappings/en/Germany-composer-stub,http://dbpedia.org/ontology/MusicalArtist,germany composer stub
